text,category,doc_id,cleaned_text,tokens,preprocessed_text,processed_text,cluster
"I was wondering if anyone out there could enlighten me on this car I saw
the other day. It was a 2-door sports car, looked to be from the late 60s/
early 70s. It was called a Bricklin. The doors were really small. In addition,
the front bumper was separate from the rest of the body. This is 
all I know. If anyone can tellme a model name, engine specs, years
of production, where this car is made, history, or whatever info you
have on this funky looking car, please e-mail.",rec.autos,doc_0000,"I was wondering if anyone out there could enlighten me on this car I saw the other day. It was a 2-door sports car, looked to be from the late 60s/ early 70s. It was called a Bricklin. The doors were really small. In addition, the front bumper was separate from the rest of the body. This is all I know. If anyone can tellme a model name, engine specs, years of production, where this car is made, history, or whatever info you have on this funky looking car, please e-mail.","['wondering', 'anyone', 'could', 'enlighten', 'car', 'saw', 'day', 'sport', 'car', 'looked', 'late', 'early', 'called', 'bricklin', 'door', 'really', 'small', 'addition', 'front', 'bumper', 'separate', 'rest', 'body', 'know', 'anyone', 'tellme', 'model', 'name', 'engine', 'spec', 'year', 'production', 'car', 'made', 'history', 'whatever', 'info', 'funky', 'looking', 'car', 'please']",wondering anyone could enlighten car saw day sport car looked late early called bricklin door really small addition front bumper separate rest body know anyone tellme model name engine spec year production car made history whatever info funky looking car please,wondering anyone could enlighten car saw day sport car looked late early called bricklin door really small addition front bumper separate rest body know anyone tellme model name engine spec year production car made history whatever info funky looking car please,7
"A fair number of brave souls who upgraded their SI clock oscillator have
shared their experiences for this poll. Please send a brief message detailing
your experiences with the procedure. Top speed attained, CPU rated speed,
add on cards and adapters, heat sinks, hour of usage per day, floppy disk
functionality with 800 and 1.4 m floppies are especially requested.

I will be summarizing in the next two days, so please add to the network
knowledge base if you have done the clock upgrade and haven't answered this
poll. Thanks.",comp.sys.mac.hardware,doc_0001,"A fair number of brave souls who upgraded their SI clock oscillator have shared their experiences for this poll. Please send a brief message detailing your experiences with the procedure. Top speed attained, CPU rated speed, add on cards and adapters, heat sinks, hour of usage per day, floppy disk functionality with 800 and 1.4 m floppies are especially requested. I will be summarizing in the next two days, so please add to the network knowledge base if you have done the clock upgrade and haven't answered this poll. Thanks.","['fair', 'number', 'brave', 'soul', 'upgraded', 'clock', 'oscillator', 'shared', 'experience', 'poll', 'please', 'send', 'brief', 'message', 'detailing', 'experience', 'procedure', 'top', 'speed', 'attained', 'cpu', 'rated', 'speed', 'add', 'card', 'adapter', 'heat', 'sink', 'hour', 'usage', 'per', 'day', 'floppy', 'disk', 'functionality', 'floppy', 'especially', 'requested', 'summarizing', 'next', 'two', 'day', 'please', 'add', 'network', 'knowledge', 'base', 'done', 'clock', 'upgrade', 'answered', 'poll', 'thanks']",fair number brave soul upgraded clock oscillator shared experience poll please send brief message detailing experience procedure top speed attained cpu rated speed add card adapter heat sink hour usage per day floppy disk functionality floppy especially requested summarizing next two day please add network knowledge base done clock upgrade answered poll thanks,fair number brave soul upgraded clock oscillator shared experience poll please send brief message detailing experience procedure top speed attained cpu rated speed add card adapter heat sink hour usage per day floppy disk functionality floppy especially requested summarizing next two day please add network knowledge base done clock upgrade answered poll thanks,18
"well folks, my mac plus finally gave up the ghost this weekend after
starting life as a 512k way back in 1985.  sooo, i'm in the market for a
new machine a bit sooner than i intended to be...

i'm looking into picking up a powerbook 160 or maybe 180 and have a bunch
of questions that (hopefully) somebody can answer:

* does anybody know any dirt on when the next round of powerbook
introductions are expected?  i'd heard the 185c was supposed to make an
appearence ""this summer"" but haven't heard anymore on it - and since i
don't have access to macleak, i was wondering if anybody out there had
more info...

* has anybody heard rumors about price drops to the powerbook line like the
ones the duo's just went through recently?

* what's the impression of the display on the 180?  i could probably swing
a 180 if i got the 80Mb disk rather than the 120, but i don't really have
a feel for how much ""better"" the display is (yea, it looks great in the
store, but is that all ""wow"" or is it really that good?).  could i solicit
some opinions of people who use the 160 and 180 day-to-day on if its worth
taking the disk size and money hit to get the active display?  (i realize
this is a real subjective question, but i've only played around with the
machines in a computer store breifly and figured the opinions of somebody
who actually uses the machine daily might prove helpful).

* how well does hellcats perform?  ;)

thanks a bunch in advance for any info - if you could email, i'll post a
summary (news reading time is at a premium with finals just around the
corner... :( )
--
Tom Willis  \  twillis@ecn.purdue.edu    \    Purdue Electrical Engineering",comp.sys.mac.hardware,doc_0002,"well folks, my mac plus finally gave up the ghost this weekend after starting life as a 512k way back in 1985. sooo, i'm in the market for a new machine a bit sooner than i intended to be... i'm looking into picking up a powerbook 160 or maybe 180 and have a bunch of questions that (hopefully) somebody can answer: * does anybody know any dirt on when the next round of powerbook introductions are expected? i'd heard the 185c was supposed to make an appearence ""this summer"" but haven't heard anymore on it - and since i don't have access to macleak, i was wondering if anybody out there had more info... * has anybody heard rumors about price drops to the powerbook line like the ones the duo's just went through recently? * what's the impression of the display on the 180? i could probably swing a 180 if i got the 80Mb disk rather than the 120, but i don't really have a feel for how much ""better"" the display is (yea, it looks great in the store, but is that all ""wow"" or is it really that good?). could i solicit some opinions of people who use the 160 and 180 day-to-day on if its worth taking the disk size and money hit to get the active display? (i realize this is a real subjective question, but i've only played around with the machines in a computer store breifly and figured the opinions of somebody who actually uses the machine daily might prove helpful). * how well does hellcats perform? ;) thanks a bunch in advance for any info - if you could email, i'll post a summary (news reading time is at a premium with finals just around the corner... :( ) -- Tom Willis \ twillis@ecn.purdue.edu \ Purdue Electrical Engineering","['well', 'folk', 'mac', 'plus', 'finally', 'gave', 'ghost', 'weekend', 'starting', 'life', 'way', 'back', 'sooo', 'market', 'new', 'machine', 'bit', 'sooner', 'intended', 'looking', 'picking', 'powerbook', 'maybe', 'bunch', 'question', 'hopefully', 'somebody', 'answer', 'anybody', 'know', 'dirt', 'next', 'round', 'powerbook', 'introduction', 'expected', 'heard', 'supposed', 'make', 'appearence', 'summer', 'heard', 'anymore', 'since', 'access', 'macleak', 'wondering', 'anybody', 'info', 'anybody', 'heard', 'rumor', 'price', 'drop', 'powerbook', 'line', 'like', 'one', 'duo', 'went', 'recently', 'impression', 'display', 'could', 'probably', 'swing', 'got', 'disk', 'rather', 'really', 'feel', 'much', 'better', 'display', 'yea', 'look', 'great', 'store', 'wow', 'really', 'good', 'could', 'solicit', 'opinion', 'people', 'use', 'worth', 'taking', 'disk', 'size', 'money', 'hit', 'get', 'active', 'display', 'realize', 'real', 'subjective', 'question', 'played', 'around', 'machine', 'computer', 'store', 'breifly', 'figured', 'opinion', 'somebody', 'actually', 'us', 'machine', 'daily', 'might', 'prove', 'helpful', 'well', 'hellcat', 'perform', 'thanks', 'bunch', 'advance', 'info', 'could', 'email', 'post', 'summary', 'news', 'reading', 'time', 'premium', 'final', 'around', 'corner', 'tom', 'willis', 'twillis', 'purdue', 'electrical', 'engineering']",well folk mac plus finally gave ghost weekend starting life way back sooo market new machine bit sooner intended looking picking powerbook maybe bunch question hopefully somebody answer anybody know dirt next round powerbook introduction expected heard supposed make appearence summer heard anymore since access macleak wondering anybody info anybody heard rumor price drop powerbook line like one duo went recently impression display could probably swing got disk rather really feel much better display yea look great store wow really good could solicit opinion people use worth taking disk size money hit get active display realize real subjective question played around machine computer store breifly figured opinion somebody actually us machine daily might prove helpful well hellcat perform thanks bunch advance info could email post summary news reading time premium final around corner tom willis twillis purdue electrical engineering,well folk mac plus finally gave ghost weekend starting life way back sooo market new machine bit sooner intended looking picking powerbook maybe bunch question hopefully somebody answer anybody know dirt next round powerbook introduction expected heard supposed make appearence summer heard anymore since access macleak wondering anybody info anybody heard rumor price drop powerbook line like one duo went recently impression display could probably swing got disk rather really feel much better display yea look great store wow really good could solicit opinion people use worth taking disk size money hit get active display realize real subjective question played around machine computer store breifly figured opinion somebody actually us machine daily might prove helpful well hellcat perform thanks bunch advance info could email post summary news reading time premium final around corner tom willis twillis purdue electrical engineering,3
"
Do you have Weitek's address/phone number?  I'd like to get some information
about this chip.
",comp.graphics,doc_0003,Do you have Weitek's address/phone number? I'd like to get some information about this chip.,"['weitek', 'number', 'like', 'get', 'information', 'chip']",weitek number like get information chip,weitek number like get information chip,5
"From article <C5owCB.n3p@world.std.com>, by tombaker@world.std.com (Tom A Baker):


My understanding is that the 'expected errors' are basically
known bugs in the warning system software - things are checked
that don't have the right values in yet because they aren't
set till after launch, and suchlike. Rather than fix the code
and possibly introduce new bugs, they just tell the crew
'ok, if you see a warning no. 213 before liftoff, ignore it'.",sci.space,doc_0004,"From article <C5owCB.n3p@world.std.com>, by tombaker@world.std.com (Tom A Baker): My understanding is that the 'expected errors' are basically known bugs in the warning system software - things are checked that don't have the right values in yet because they aren't set till after launch, and suchlike. Rather than fix the code and possibly introduce new bugs, they just tell the crew 'ok, if you see a warning no. 213 before liftoff, ignore it'.","['article', 'tombaker', 'tom', 'baker', 'understanding', 'error', 'basically', 'known', 'bug', 'warning', 'system', 'software', 'thing', 'checked', 'right', 'value', 'yet', 'set', 'till', 'launch', 'suchlike', 'rather', 'fix', 'code', 'possibly', 'introduce', 'new', 'bug', 'tell', 'crew', 'see', 'warning', 'liftoff', 'ignore']",article tombaker tom baker understanding error basically known bug warning system software thing checked right value yet set till launch suchlike rather fix code possibly introduce new bug tell crew see warning liftoff ignore,article tombaker tom baker understanding error basically known bug warning system software thing checked right value yet set till launch suchlike rather fix code possibly introduce new bug tell crew see warning liftoff ignore,17
"




Of course.  The term must be rigidly defined in any bill.


I doubt she uses this term for that.  You are using a quote allegedly
from her, can you back it up?




I read the article as presenting first an argument about weapons of mass
destruction (as commonly understood) and then switching to other topics.
The first point evidently was to show that not all weapons should be
allowed, and then the later analysis was, given this understanding, to
consider another class.



",talk.politics.guns,doc_0005,"Of course. The term must be rigidly defined in any bill. I doubt she uses this term for that. You are using a quote allegedly from her, can you back it up? I read the article as presenting first an argument about weapons of mass destruction (as commonly understood) and then switching to other topics. The first point evidently was to show that not all weapons should be allowed, and then the later analysis was, given this understanding, to consider another class.","['course', 'term', 'must', 'rigidly', 'defined', 'bill', 'doubt', 'us', 'term', 'using', 'quote', 'allegedly', 'back', 'read', 'article', 'presenting', 'first', 'argument', 'weapon', 'mass', 'destruction', 'commonly', 'understood', 'switching', 'topic', 'first', 'point', 'evidently', 'show', 'weapon', 'allowed', 'later', 'analysis', 'given', 'understanding', 'consider', 'another', 'class']",course term must rigidly defined bill doubt us term using quote allegedly back read article presenting first argument weapon mass destruction commonly understood switching topic first point evidently show weapon allowed later analysis given understanding consider another class,course term must rigidly defined bill doubt us term using quote allegedly back read article presenting first argument weapon mass destruction commonly understood switching topic first point evidently show weapon allowed later analysis given understanding consider another class,3
"There were a few people who responded to my request for info on
treatment for astrocytomas through email, whom I couldn't thank
directly because of mail-bouncing probs (Sean, Debra, and Sharon).  So
I thought I'd publicly thank everyone.

Thanks! 

(I'm sure glad I accidentally hit ""rn"" instead of ""rm"" when I was
trying to delete a file last September. ""Hmmm... 'News?' What's
this?""....)",sci.med,doc_0006,"There were a few people who responded to my request for info on treatment for astrocytomas through email, whom I couldn't thank directly because of mail-bouncing probs (Sean, Debra, and Sharon). So I thought I'd publicly thank everyone. Thanks! (I'm sure glad I accidentally hit ""rn"" instead of ""rm"" when I was trying to delete a file last September. ""Hmmm... 'News?' What's this?""....)","['people', 'responded', 'request', 'info', 'treatment', 'astrocytomas', 'email', 'could', 'thank', 'directly', 'probs', 'sean', 'debra', 'sharon', 'thought', 'publicly', 'thank', 'everyone', 'thanks', 'sure', 'glad', 'accidentally', 'hit', 'instead', 'trying', 'delete', 'file', 'last', 'september', 'hmmm']",people responded request info treatment astrocytomas email could thank directly probs sean debra sharon thought publicly thank everyone thanks sure glad accidentally hit instead trying delete file last september hmmm,people responded request info treatment astrocytomas email could thank directly probs sean debra sharon thought publicly thank everyone thanks sure glad accidentally hit instead trying delete file last september hmmm,11
"                                                                      
ALL this shows is that YOU don't know much about SCSI.

SCSI-1 {with a SCSI-1 controler chip} range is indeed 0-5MB/s
and that is ALL you have right about SCSI
SCSI-1 {With a SCSI-2 controller chip}: 4-6MB/s with 10MB/s burst {8-bit}
 Note the INCREASE in SPEED, the Mac Quadra uses this version of SCSI-1
 so it DOES exist. Some PC use this set up too.
SCSI-2 {8-bit/SCSI-1 mode}:          4-6MB/s with 10MB/s burst
SCSI-2 {16-bit/wide or fast mode}:  8-12MB/s with 20MB/s burst
SCSI-2 {32-bit/wide AND fast}:     15-20MB/s with 40MB/s burst
 
By your OWN data the ""Although SCSI is twice as fast as ESDI"" is correct
With a SCSI-2 controller chip SCSI-1 can reach 10MB/s which is indeed
""20% faster than IDE"" {120% of 8.3 is 9.96}. ALL these SCSI facts have been
posted to this newsgroup in my Mac & IBM info sheet {available by FTP on 
sumex-aim.stanford.edu (36.44.0.6) in the info-mac/report as 
mac-ibm-compare[version #].txt (It should be 173 but 161 may still be there)}

Part of this problem is both Mac and IBM PC are inconsiant about what SCSI
is which.  Though it is WELL documented that the Quadra has a SCSI-2 chip
an Apple salesperson said ""it uses a fast SCSI-1 chip"" {Not at a 6MB/s,
10MB/s burst it does not. SCSI-1 is 5MB/s maximum synchronous and Quadra
uses ANsynchronous SCSI which is SLOWER}  It seems that Mac and IBM see
SCSI-1 interface and think 'SCSI-1' when it maybe a SCSI-1 interface driven
in the machine by a SCSi-2 controller chip in 8-bit mode {Which is MUCH
FASTER then true SCSI-1 can go}.",comp.sys.ibm.pc.hardware,doc_0007,"ALL this shows is that YOU don't know much about SCSI. SCSI-1 {with a SCSI-1 controler chip} range is indeed 0-5MB/s and that is ALL you have right about SCSI SCSI-1 {With a SCSI-2 controller chip}: 4-6MB/s with 10MB/s burst {8-bit} Note the INCREASE in SPEED, the Mac Quadra uses this version of SCSI-1 so it DOES exist. Some PC use this set up too. SCSI-2 {8-bit/SCSI-1 mode}: 4-6MB/s with 10MB/s burst SCSI-2 {16-bit/wide or fast mode}: 8-12MB/s with 20MB/s burst SCSI-2 {32-bit/wide AND fast}: 15-20MB/s with 40MB/s burst By your OWN data the ""Although SCSI is twice as fast as ESDI"" is correct With a SCSI-2 controller chip SCSI-1 can reach 10MB/s which is indeed ""20% faster than IDE"" {120% of 8.3 is 9.96}. ALL these SCSI facts have been posted to this newsgroup in my Mac & IBM info sheet {available by FTP on sumex-aim.stanford.edu (36.44.0.6) in the info-mac/report as mac-ibm-compare[version #].txt (It should be 173 but 161 may still be there)} Part of this problem is both Mac and IBM PC are inconsiant about what SCSI is which. Though it is WELL documented that the Quadra has a SCSI-2 chip an Apple salesperson said ""it uses a fast SCSI-1 chip"" {Not at a 6MB/s, 10MB/s burst it does not. SCSI-1 is 5MB/s maximum synchronous and Quadra uses ANsynchronous SCSI which is SLOWER} It seems that Mac and IBM see SCSI-1 interface and think 'SCSI-1' when it maybe a SCSI-1 interface driven in the machine by a SCSi-2 controller chip in 8-bit mode {Which is MUCH FASTER then true SCSI-1 can go}.","['show', 'know', 'much', 'scsi', 'controler', 'chip', 'range', 'indeed', 'right', 'scsi', 'controller', 'chip', 'burst', 'note', 'increase', 'speed', 'mac', 'quadra', 'us', 'version', 'exist', 'use', 'set', 'mode', 'burst', 'fast', 'mode', 'burst', 'fast', 'burst', 'data', 'although', 'scsi', 'twice', 'fast', 'esdi', 'correct', 'controller', 'chip', 'reach', 'indeed', 'faster', 'ide', 'scsi', 'fact', 'posted', 'newsgroup', 'mac', 'ibm', 'info', 'sheet', 'available', 'ftp', 'version', 'may', 'still', 'part', 'problem', 'mac', 'ibm', 'inconsiant', 'scsi', 'though', 'well', 'documented', 'quadra', 'chip', 'apple', 'salesperson', 'said', 'us', 'fast', 'chip', 'burst', 'maximum', 'synchronous', 'quadra', 'us', 'ansynchronous', 'scsi', 'slower', 'seems', 'mac', 'ibm', 'see', 'interface', 'think', 'maybe', 'interface', 'driven', 'machine', 'controller', 'chip', 'mode', 'much', 'faster', 'true']",show know much scsi controler chip range indeed right scsi controller chip burst note increase speed mac quadra us version exist use set mode burst fast mode burst fast burst data although scsi twice fast esdi correct controller chip reach indeed faster ide scsi fact posted newsgroup mac ibm info sheet available ftp version may still part problem mac ibm inconsiant scsi though well documented quadra chip apple salesperson said us fast chip burst maximum synchronous quadra us ansynchronous scsi slower seems mac ibm see interface think maybe interface driven machine controller chip mode much faster true,show know much scsi controler chip range indeed right scsi controller chip burst note increase speed mac quadra us version exist use set mode burst fast mode burst fast burst data although scsi twice fast esdi correct controller chip reach indeed faster ide scsi fact posted newsgroup mac ibm info sheet available ftp version may still part problem mac ibm inconsiant scsi though well documented quadra chip apple salesperson said us fast chip burst maximum synchronous quadra us ansynchronous scsi slower seems mac ibm see interface think maybe interface driven machine controller chip mode much faster true,0
"I have win 3.0 and downloaded several icons and BMP's but I can't figure out
how to change the ""wallpaper"" or use the icons.  Any help would be appreciated.


Thanx,

-Brando",comp.os.ms-windows.misc,doc_0008,"I have win 3.0 and downloaded several icons and BMP's but I can't figure out how to change the ""wallpaper"" or use the icons. Any help would be appreciated. Thanx, -Brando","['win', 'downloaded', 'several', 'icon', 'bmp', 'figure', 'change', 'wallpaper', 'use', 'icon', 'help', 'would', 'appreciated', 'thanx']",win downloaded several icon bmp figure change wallpaper use icon help would appreciated thanx,win downloaded several icon bmp figure change wallpaper use icon help would appreciated thanx,0
"


I've had the board for over a year, and it does work with Diskdoubler,
but not with Autodoubler, due to a licensing problem with Stac Technologies,
the owners of the board's compression technology. (I'm writing this
from memory; I've lost the reference. Please correct me if I'm wrong.)

Using the board, I've had problems with file icons being lost, but it's
hard to say whether it's the board's fault or something else; however,
if I decompress the troubled file and recompress it without the board,
the icon usually reappears. Because of the above mentioned licensing
problem, the freeware expansion utility DD Expand will not decompress
a board-compressed file unless you have the board installed.

Since Stac has its own product now, it seems unlikely that the holes
in Autodoubler/Diskdoubler related to the board will be fixed.
Which is sad, and makes me very reluctant to buy Stac's product since
they're being so stinky. (But hey, that's competition.)
-- ",comp.sys.mac.hardware,doc_0009,"I've had the board for over a year, and it does work with Diskdoubler, but not with Autodoubler, due to a licensing problem with Stac Technologies, the owners of the board's compression technology. (I'm writing this from memory; I've lost the reference. Please correct me if I'm wrong.) Using the board, I've had problems with file icons being lost, but it's hard to say whether it's the board's fault or something else; however, if I decompress the troubled file and recompress it without the board, the icon usually reappears. Because of the above mentioned licensing problem, the freeware expansion utility DD Expand will not decompress a board-compressed file unless you have the board installed. Since Stac has its own product now, it seems unlikely that the holes in Autodoubler/Diskdoubler related to the board will be fixed. Which is sad, and makes me very reluctant to buy Stac's product since they're being so stinky. (But hey, that's competition.) --","['board', 'year', 'work', 'diskdoubler', 'autodoubler', 'due', 'licensing', 'problem', 'stac', 'technology', 'owner', 'board', 'compression', 'technology', 'writing', 'memory', 'lost', 'reference', 'please', 'correct', 'wrong', 'using', 'board', 'problem', 'file', 'icon', 'lost', 'hard', 'say', 'whether', 'board', 'fault', 'something', 'else', 'however', 'decompress', 'troubled', 'file', 'recompress', 'without', 'board', 'icon', 'usually', 'reappears', 'mentioned', 'licensing', 'problem', 'freeware', 'expansion', 'utility', 'expand', 'decompress', 'file', 'unless', 'board', 'installed', 'since', 'stac', 'product', 'seems', 'unlikely', 'hole', 'related', 'board', 'fixed', 'sad', 'make', 'reluctant', 'buy', 'stac', 'product', 'since', 'stinky', 'hey', 'competition']",board year work diskdoubler autodoubler due licensing problem stac technology owner board compression technology writing memory lost reference please correct wrong using board problem file icon lost hard say whether board fault something else however decompress troubled file recompress without board icon usually reappears mentioned licensing problem freeware expansion utility expand decompress file unless board installed since stac product seems unlikely hole related board fixed sad make reluctant buy stac product since stinky hey competition,board year work diskdoubler autodoubler due licensing problem stac technology owner board compression technology writing memory lost reference please correct wrong using board problem file icon lost hard say whether board fault something else however decompress troubled file recompress without board icon usually reappears mentioned licensing problem freeware expansion utility expand decompress file unless board installed since stac product seems unlikely hole related board fixed sad make reluctant buy stac product since stinky hey competition,6
