Unnamed: 0,old_id,label,text,Slogan,Restructured,Context (deprecated),Example,Argument,Support/Citation,Data Domain,Tool Used/Mentioned,Dashboard Type,Authors,Work,Year,Publisher,How I found it ,Format,Reason for Rating,Subjective Trust Score:,Link,id,doc_id,cleaned_text,tokens,preprocessed_text
1048,D043.013,digestible,"Engage users by incorporating interactive elements such as drill-downs, sliders, and dynamic charts, which facilitate active exploration of the data.",Interactivity,,,,,,Nonspecific,Nonspecific," in the context of data analysis
and business intelligence, a dashboard aggregates essential information and presents
it in a user-friendly manner, often employing graphs, charts, and indicators for easy
interpretation. ",Krystyna Ziobro,"User-Centered Dashboard Design
Leveraging Design Thinking and Game Design Principles for
Improving User Engagement",2024,University of Gothenberg,IEEE search,Master's thesis,Well-researched and in-depth,5,https://gupea.ub.gu.se/bitstream/handle/2077/83690/CSE%2024-32%20KZ.pdf?sequence=1&isAllowed=y,Krystyna_013_engage_users_incorporating_interactive,Krystyna_013_engage_users_incorporating_interactive,"Engage users by incorporating interactive elements such as drill-downs, sliders, and dynamic charts, which facilitate active exploration of the data.","['engage', 'user', 'incorporating', 'interactive', 'element', 'drill', 'down', 'slider', 'dynamic', 'chart', 'facilitate', 'active', 'exploration', 'data']",engage user incorporating interactive element drill down slider dynamic chart facilitate active exploration data
4,D001.005,digestible,Your goal is to create a dashboard that presents the data in a meaningful way that your readers can understand instantly,Think of your audience,"When/if you create a dashboard, your goal is to present the data in a meaningful way, for your readers to understand it instantly.",,,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Alan_005_goal_create_dashboard_presents,Alan_005_goal_create_dashboard_presents,Your goal is to create a dashboard that presents the data in a meaningful way that your readers can understand instantly,"['goal', 'create', 'dashboard', 'present', 'data', 'meaningful', 'way', 'reader', 'understand', 'instantly']",goal create dashboard present data meaningful way reader understand instantly
11,D001.012,digestible,Add more emphasis to headers and key values by making fonts larger or use a darker color.,Use contrast,"When emphasizing headers and key values, use larger fonts or darker colors",Add contrast to draw users’ eyes to what is important.,There are also red borders to section off the headings and the totals are in a bold font to emphasize them.,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Alan_012_add_more_emphasis_headers,Alan_012_add_more_emphasis_headers,Add more emphasis to headers and key values by making fonts larger or use a darker color.,"['add', 'emphasis', 'header', 'key', 'value', 'making', 'font', 'larger', 'use', 'darker', 'color']",add emphasis header key value making font larger use darker color
18,D002.002,digestible,Include only the most important content,Include only the most important content,"When choosing content, include only what’s most important","If you’re not showing useful metrics then it doesn’t matter how you arrange them. Often you’ll already have some goals and KPIs defined, and adding those is a great starting point. Just remember, everything should tie back to the purpose of your board.",Simplified Image,Every inch on your TV dashboard is valuable real-estate. Adding too much information can detract from what’s important and make everything harder to find. If you’re really struggling to fit everything in then you may need more than one dashboard.,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Geckoboard_002_include_only_most_important,Geckoboard_002_include_only_most_important,Include only the most important content,"['include', 'important', 'content']",include important content
19,D002.003,digestible,Consider data ink ratio,Consider data ink ratio,"When formatting visuals, consider data-ink ratio","That means removing unnecessary grid lines, icons, color, labels, or anything else that doesn’t actually communicate data. Dashboards with a poor data ink ratio are hard work for the user, because the non-data ink is distracting and gets in the wayDecorative elements like colorful backgrounds or quirky illustrations may grab your attention the first time you look at a dashboard, but the novelty very quickly wears off, and eventually it just gets in the way.",Simplified Image,"Well designed dashboards (and other data visualizations) aim to use as little non-data ink as possible – in other words, they have a good data ink ratio.",Tufte,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Geckoboard_003_consider_data_ink_ratio,Geckoboard_003_consider_data_ink_ratio,Consider data ink ratio,"['consider', 'data', 'ink', 'ratio']",consider data ink ratio
24,D002.008,digestible,Giving groups a title makes them easier to spot.,Group your related metrics,"When grouping elements, add a title, because of unmarked clusters + for easier recognition.",,,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Geckoboard_008_giving_groups_title_makes,Geckoboard_008_giving_groups_title_makes,Giving groups a title makes them easier to spot.,"['giving', 'group', 'title', 'make', 'easier', 'spot']",giving group title make easier spot
53,D003.015,digestible,create a continuous flow for easy scanning across the dashboard.,Define the layout and flow. Prioritize.,"When guiding the reader, create a continuous flow, because of disjointed design + for smoother navigation.","If there are dependencies that will affect decisions making on one group of information from based on info from another, create a layout in a way that users do not need to go back and forth",Simplified Image,,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,Taras_015_create_continuous_flow_easy,Taras_015_create_continuous_flow_easy,create a continuous flow for easy scanning across the dashboard.,"['create', 'continuous', 'flow', 'easy', 'scanning', 'across', 'dashboard']",create continuous flow easy scanning across dashboard
58,D003.020,digestible,"Don’t tell the full story — summarize instead, and surface only key info.",Don’t hide information or rely on interactions too much.,"When summarizing, surface only key info, because of information overload + for faster comprehension.","After doing more research and interviews, you should be able to identify core information. You should work only with space above the fold to display it.",,,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,Taras_020_don_tell_full_story,Taras_020_don_tell_full_story,"Don’t tell the full story — summarize instead, and surface only key info.","['tell', 'full', 'story', 'summarize', 'instead', 'surface', 'key', 'info']",tell full story summarize instead surface key info
66,D004.003,digestible,The best approach is to start simple,Know your audience,,Remember that you can always create more dashboards.,Exemplar Dashboard,,,Nonspecific,Nonspecific,Undefined,Tableau,10 Best Practices for Building Effective Dashboards,Unknown,Tableau,Google,PDF,Tableau is known to have employed many vis researchers,5,https://origin-tableau-www.tableau.com/sites/default/files/whitepapers/10_best_practices_for_building_effective_dashboardswp.pdf,Tableau_003_best_approach_start_simple,Tableau_003_best_approach_start_simple,The best approach is to start simple,"['best', 'approach', 'start', 'simple']",best approach start simple
76,D004.013,digestible,Limit the number of views and colors,Limit the number of views and colors,,,Exemplar Dashboard (Positive + Negative),,,Nonspecific,Nonspecific,Undefined,Tableau,10 Best Practices for Building Effective Dashboards,Unknown,Tableau,Google,PDF,Tableau is known to have employed many vis researchers,5,https://origin-tableau-www.tableau.com/sites/default/files/whitepapers/10_best_practices_for_building_effective_dashboardswp.pdf,Tableau_013_limit_number_views_colors,Tableau_013_limit_number_views_colors,Limit the number of views and colors,"['limit', 'number', 'view', 'color']",limit number view color
77,D004.014,digestible,"In general, stick to two or three views.",Limit the number of views and colors,,"It’s easy to get excited and want to cram your dashboard with every relevant view. But if you add too many, you’ll sacrifice the big picture",,,,Nonspecific,Nonspecific,Undefined,Tableau,10 Best Practices for Building Effective Dashboards,Unknown,Tableau,Google,PDF,Tableau is known to have employed many vis researchers,5,https://origin-tableau-www.tableau.com/sites/default/files/whitepapers/10_best_practices_for_building_effective_dashboardswp.pdf,Tableau_014_general_stick_two_three,Tableau_014_general_stick_two_three,"In general, stick to two or three views.","['general', 'stick', 'two', 'three', 'view']",general stick two three view
88,D004.025,digestible,"As always, make sure that the visualization is enhancing, not distracting from the contents of your dashboard","Leverage tooltips, the story within your story",,,,,,Nonspecific,Nonspecific,Undefined,Tableau,10 Best Practices for Building Effective Dashboards,Unknown,Tableau,Google,PDF,Tableau is known to have employed many vis researchers,5,https://origin-tableau-www.tableau.com/sites/default/files/whitepapers/10_best_practices_for_building_effective_dashboardswp.pdf,Tableau_025_always_make_sure_visualization,Tableau_025_always_make_sure_visualization,"As always, make sure that the visualization is enhancing, not distracting from the contents of your dashboard","['always', 'make', 'sure', 'visualization', 'enhancing', 'distracting', 'content', 'dashboard']",always make sure visualization enhancing distracting content dashboard
89,D004.026,digestible,"When in doubt, keep the rest of the dashboard simple and inform the user that they will get more context in the tooltip.","Leverage tooltips, the story within your story",,,,,,Nonspecific,Nonspecific,Undefined,Tableau,10 Best Practices for Building Effective Dashboards,Unknown,Tableau,Google,PDF,Tableau is known to have employed many vis researchers,5,https://origin-tableau-www.tableau.com/sites/default/files/whitepapers/10_best_practices_for_building_effective_dashboardswp.pdf,Tableau_026_when_doubt_keep_rest,Tableau_026_when_doubt_keep_rest,"When in doubt, keep the rest of the dashboard simple and inform the user that they will get more context in the tooltip.","['doubt', 'keep', 'rest', 'dashboard', 'simple', 'inform', 'user', 'get', 'context', 'tooltip']",doubt keep rest dashboard simple inform user get context tooltip
